"uid","createdatetime","updatedatetime","structuraltype","referenttype","episodeclass","episodenumber","title120","titleclass","titlelanguage","emm_episode_uid","emm_parent_uid","series_uid","season_uid","countryoforigin","primarygenre","secondarygenre","distribution_number","approximate_length","eidrid","entity_type","primary_mode","primary_language","secondary_language","synopsisshort","synopsislong","published_status","deletedatetime","is_deleted","title19","title","titlelong","keyword_mood","keyword_time_period","keyword_theme","keyword_characters","keyword_setting","keyword_subject","keyword_general","episode_number","additional_data_created_by","additional_data_updated_by","additional_data_deleted_by","additional_data_source","is_eidr_duplicate_record_found","tv_rating","contentid_list","release_date"
"12","2019-06-12 12:00:56.921718","2024-02-01 15:34:53.629818","Abstraction","TV","one-time-only",0,"ANDREA BOCELLI: HOMECOMING","Release","","cid:org:pbs.org:Broadview-3190998","",NULL,NULL,"","Cultural","",1,"PT1H30M0S",NULL,"Episode","Audio","en","","","","Externally Published",NULL,False,NULL,"ANDREA BOCELLI: HOMECOMING",NULL,NULL,NULL,"Performance",NULL,NULL,"Classical Music|Folk Music|Italy|Arts|Rock/Pop Music|Music",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,"[{""ContentID"": ""cid:org:pbs.org:Broadview-3190998""}, {""ContentID"": ""cid:org:pbs.org:NOLACode:ABHO  000000""}, {""ContentID"": ""cid:org:pbs.org:Bebanjo-2621390""}, {""ContentID"": ""cid:org:pbs.org:NOLARoot:ABHO""}]","2020-04-14 20:00:00"
"13","2019-06-12 12:00:57.003587","2024-02-01 15:34:53.629818","Abstraction","TV","one-time-only",0,"ARE YOU BEING SERVED? MARATHON WITH MRS. SLOCOMBE, THE","Release","","cid:org:pbs.org:Broadview-3190999","",NULL,NULL,"","Cultural","",1,"PT3H0M0S","10.5240/B65E-BFA7-4F11-2F4B-72A5-Z","Episode","Audio","en","","","A 3-hour live broadcast from Tempe, AZ, consisting primarily of THE BEST OF ARE YOU BEING SERVED? and Episode #201 of ARE YOU BEING SERVED? AGAIN! They will be interspersed with a series of national pledge breaks featuring John Inman (who played Mr. Humphreis on the series) joined with KAET staff.","Externally Published",NULL,False,NULL,"ARE YOU BEING SERVED? MARATHON WITH MRS. SLOCOMBE, THE",NULL,NULL,NULL,"Other|Performance",NULL,NULL,"Dramatic Comedy",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,"[{""ContentID"": ""cid:org:pbs.org:Broadview-3190999""}, {""ContentID"": ""cid:org:pbs.org:NOLACode:ABJI  000000""}, {""ContentID"": ""cid:org:pbs.org:Bebanjo-2621393""}, {""ContentID"": ""10.5240/B65E-BFA7-4F11-2F4B-72A5-Z""}, {""ContentID"": ""cid:org:pbs.org:NOLARoot:ABJI""}]","1977-07-31 20:00:00"
"15","2019-06-12 12:00:57.154427","2024-02-01 15:34:53.629818","Abstraction","TV","one-time-only",0,"ABBEY LINCOLN, YOU GOTTA PAY THE BAND","Release","","cid:org:pbs.org:Broadview-3191002","",NULL,NULL,"","Cultural","Public Affairs",1,"PT1H0M0S",NULL,"Episode","Audio","en","","","Legendary singer-actress Abbey Lincoln's multi-dimensional life story is told in this one-hour music documentary. This special spans her 40-year career and is filled with intimate recollections of her youth, her nightclub and film debut in the 1950s, her years as a political, socially aware activist in the 1960s, and her exciting resurgence in the 1980s as a definitive singer, writer and composer in the world of jazz. The late great jazzman Stan Getz, Tony Bennett, Ruth Brown, Spike Lee and Beau Bridges are among the notableS featured in exclusive interviews.","Externally Published",NULL,False,NULL,"ABBEY LINCOLN, YOU GOTTA PAY THE BAND",NULL,NULL,NULL,"Culture/Arts|Documentary|Performance",NULL,NULL,"Blacks|Women|Blacks|Women|Film Industry|Jazz/Blues|Blacks|African Americans|Music",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,"[{""ContentID"": ""cid:org:pbs.org:Broadview-3191002""}, {""ContentID"": ""cid:org:pbs.org:NOLACode:ABLI  000000""}, {""ContentID"": ""cid:org:pbs.org:Bebanjo-2621389""}, {""ContentID"": ""cid:org:pbs.org:NOLARoot:ABLI""}]","1993-02-27 03:00:01"
"19","2019-06-12 12:00:57.494487","2024-02-01 15:34:53.629818","Abstraction","TV","one-time-only",0,"ABORTION PILL, THE","Release","","cid:org:pbs.org:Broadview-3191046","",NULL,NULL,"","Public Affairs","",1,"PT1H0M0S",NULL,"Episode","Audio","en","","","RU486, better known as the ""abortion pill,"" was intended to offer women a safe, quick and very private alternative to surgical abortions. Although the procedure can be applied at the very earliest stage of pregnancy, RU486 hasn't escaped the controversy between abortion rights opponents and supporters. This documentary profiles the people and issues involved in the international and national debate over RU486, and explains why, until recently, the drug was prevented from entering the United States.","Externally Published",NULL,False,NULL,"ABORTION PILL, THE",NULL,NULL,NULL,"Abortion|Documentary",NULL,NULL,"Women|Women|Abortion|Contraception|Drugs|Ethics|Women's Rights|Government|Health Care|Legal Issues|Medicine|Pregnancy|Religion|Women|FDA|Reproductive Issues",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,"[{""ContentID"": ""cid:org:pbs.org:Broadview-3191046""}, {""ContentID"": ""cid:org:pbs.org:NOLACode:ABPI  000000""}, {""ContentID"": ""cid:org:pbs.org:Bebanjo-2621398""}, {""ContentID"": ""cid:org:pbs.org:NOLARoot:ABPI""}]","1997-01-04 02:00:01"
"19","2019-06-12 12:00:57.494487","2024-02-01 15:34:53.629818","Abstraction","TV","one-time-only",0,"ABORTION PILL, THE","Release","","cid:org:pbs.org:Broadview-3191046","",NULL,NULL,"","Public Affairs","",1,"PT1H0M0S",NULL,"Episode","Audio","en","","","RU486, better known as the ""abortion pill,"" was intended to offer women a safe, quick and very private alternative to surgical abortions. Although the procedure can be applied at the very earliest stage of pregnancy, RU486 hasn't escaped the controversy between abortion rights opponents and supporters. This documentary profiles the people and issues involved in the international and national debate over RU486, and explains why, until recently, the drug was prevented from entering the United States.","Externally Published",NULL,False,NULL,"ABORTION PILL, THE",NULL,NULL,NULL,"Abortion|Documentary",NULL,NULL,"Women|Women|Abortion|Contraception|Drugs|Ethics|Women's Rights|Government|Health Care|Legal Issues|Medicine|Pregnancy|Religion|Women|FDA|Reproductive Issues",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,"[{""ContentID"": ""cid:org:pbs.org:Broadview-3191046""}, {""ContentID"": ""cid:org:pbs.org:NOLACode:ABPI  000000""}, {""ContentID"": ""cid:org:pbs.org:Bebanjo-2621398""}, {""ContentID"": ""cid:org:pbs.org:NOLARoot:ABPI""}]","1997-01-04 02:00:01"
"20","2019-06-12 12:00:57.573201","2024-02-01 15:34:53.629818","Abstraction","TV","one-time-only",0,"Brief Flight: Hazel Ying Lee and the Women Who Flew Pursuit, A","Release","","cid:org:pbs.org:Broadview-3191047","",NULL,NULL,"","History","",1,"PT0H30M0S",NULL,"Episode","Audio","en","","","This program tells the story of a Chinese woman's struggle to gain prominence as an aviator in the United States.  Hazel Lee began her flying in 1931 and later became America's first Chinese American woman pilot in the Women Airforce Service Pilots (WASPs).  The film also reveals for the first time, the circumstances of her untimely death in 1944. Narrated by Ming-Na.","Externally Published",NULL,False,NULL,"Brief Flight: Hazel Ying Lee and the Women Who Flew Pursuit, A",NULL,NULL,NULL,"Transportation|Women|War/Veterans/National Security|Documentary",NULL,NULL,"Asians|Women|Asians|Women|Asian Americans|Aviation|War|Women|World War II",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,"[{""ContentID"": ""cid:org:pbs.org:Broadview-3191047""}, {""ContentID"": ""cid:org:pbs.org:NOLACode:ABRF  000000""}, {""ContentID"": ""cid:org:pbs.org:Bebanjo-2621396""}, {""ContentID"": ""cid:org:pbs.org:NOLARoot:ABRF""}]","2003-05-12 03:00:00"
"21","2019-06-12 12:00:57.653569","2024-02-01 15:34:53.629818","Abstraction","TV","one-time-only",0,"ABSOLUTE MONARCH, THE","Release","","cid:org:pbs.org:Broadview-3191048","",NULL,NULL,"","Cultural","Public Affairs",1,"PT1H0M0S",NULL,"Episode","Audio","en","","","This program profiles the Sultan of Brunei, reputedly the richest man in the world, and the ruler of the tiny, immensely wealthy equatorial kingdom of Brunei. The Sultan of Brunei, an absolute monarch and 29th ruler of one of hte world's oldest dynasties, is also the country's political leader, and as head of the Islamic faith in his country, also its spiritual leader. His enormous wealth--estimated at three or four times that of King Fahd of Saudi Arabia or Queen Elizabeth--is the equivalent of earning a quarter of a million pounds an hour, day and night. British television personality Alan Whicker interviews the Sultan in this his first informal conversation with an emissary from the outside world. Whicker speaks with the Sultan about his $10 million contribution to Colonel Oliver North and the Contras and asks about persistent rumors that he bought Harrod's, London's venerable department store. He also joins the Sultan playing polo, worshiping in a great mosque, sailing, flying helicopters and driving Bentleys.","Externally Published",NULL,False,NULL,"ABSOLUTE MONARCH, THE",NULL,NULL,NULL,"Documentary|Interview/Discussion/Review",NULL,NULL,"Asians|Women|Asians|Islam|Asia|Oil|Royalty|Brunei",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,"[{""ContentID"": ""cid:org:pbs.org:Broadview-3191048""}, {""ContentID"": ""cid:org:pbs.org:NOLACode:ABSM  000000""}, {""ContentID"": ""cid:org:pbs.org:Bebanjo-2621399""}, {""ContentID"": ""cid:org:pbs.org:NOLARoot:ABSM""}]","1993-10-05 00:00:01"
"22","2019-06-12 12:00:57.732807","2024-02-01 15:34:53.629818","Abstraction","TV","one-time-only",0,"CAPITOL FOURTH (2000), A","Release","","cid:org:pbs.org:Broadview-3191106","",NULL,NULL,"","Cultural","",1,"PT1H30M0S",NULL,"Episode","Audio","en","","","For the new millennium, A CAPITOL FOURTH (2000) features an array of entertainers and a spectacular display of fireworks over the nation's capital. Barry Bostwick hosts this live broadcast from the West Lawn of the United States Capitol. Joining him are guest artists Ray Charles, James Galway, Audra McDonald, David Benoit (in a tribute to Charles Schultz), performing with the National Symphony Orchestra under the direction of Leonard Slatkin.","Externally Published",NULL,False,NULL,"CAPITOL FOURTH (2000), A",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,"[{""ContentID"": ""cid:org:pbs.org:Broadview-3191106""}, {""ContentID"": ""cid:org:pbs.org:NOLACode:ACAF  000000""}, {""ContentID"": ""cid:org:pbs.org:Bebanjo-2621400""}, {""ContentID"": ""cid:org:pbs.org:NOLARoot:ACAF""}]","2000-07-05 00:00:00"
"23","2019-06-12 12:00:57.809975","2024-02-01 15:34:53.629818","Abstraction","TV","one-time-only",0,"CAPITOL FOURTH (2002), A","Release","","cid:org:pbs.org:Broadview-3191107","",NULL,NULL,"","Cultural","",1,"PT1H30M0S",NULL,"Episode","Audio","en","","","Broadcast live from the West Lawn of the U.S. Capitol in Washington, DC, this annual holiday special offers viewers an exuberant musical celebration complete with a finale of fireworks over the Washington Monument. Joining host Barry Bostwick are Aretha Franklin, Chuck Berry, young jazz singer Jane Monheit, rising classical music star Russell Watson and other guest performers with the National Symphony Orchestra, led by premier pops conductor Erich Kunzel.","Externally Published",NULL,False,NULL,"CAPITOL FOURTH (2002), A",NULL,NULL,NULL,"Event Coverage|Performance",NULL,NULL,"Blacks|Women|District of Columbia|American History|Holidays|Music",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,"[{""ContentID"": ""cid:org:pbs.org:Broadview-3191107""}, {""ContentID"": ""cid:org:pbs.org:NOLACode:ACAP  000000""}, {""ContentID"": ""cid:org:pbs.org:Bebanjo-2621404""}, {""ContentID"": ""cid:org:pbs.org:NOLARoot:ACAP""}]","2002-07-04 20:00:00"
"24","2019-06-12 12:00:57.888663","2024-02-01 15:34:53.629818","Abstraction","TV","one-time-only",0,"AFGHANISTAN: CAPTIVES OF THE WARLORDS","Release","","cid:org:pbs.org:Broadview-3191108","",NULL,NULL,"","Public Affairs","",1,"PT1H0M0S",NULL,"Episode","Audio","en","","","As Afghanistan's extremist Taliban regime shocks the world by destroying ancient relics, fostering terrorism and denying cultural freedom, Emmy award-winning journalist Arthur Kent returns to Afghanistan alone, with a hidden camera. He compares the harsh reality of life for Afghans today with scenes from a bitter history of foreign interference and internal treachery.","Externally Published",NULL,False,NULL,"AFGHANISTAN: CAPTIVES OF THE WARLORDS",NULL,NULL,NULL,"Documentary",NULL,NULL,"Elderly|Disabled|Women|Children|Death|Government|Human Rights|Arms|Middle East|Refugees|Religion|Sexism|Trade|Violence|War|Afghanistan",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,"[{""ContentID"": ""cid:org:pbs.org:Broadview-3191108""}, {""ContentID"": ""cid:org:pbs.org:NOLACode:ACAW  000000""}, {""ContentID"": ""cid:IMDbId:651e67a344523c555153a49a""}, {""ContentID"": ""cid:org:pbs.org:Bebanjo-2621403""}, {""ContentID"": ""cid:org:pbs.org:NOLARoot:ACAW""}]","2001-06-02 01:00:00"
